set_id,set_name,release_year,theme_id,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_month,retire_price,pop_price,
76138-1,Batman and The Joker Escape,2019,697,171,4,34.99,2,4.6,Jun-20,39.68,39.3,
76139-1,1989 Batmobile,2019,698,3310,3,219.99,2,4.8,Nov-21,290.4,355.77,
76144-1,Avengers Hulk Helicopter Rescue,2019,702,483,5,54.99,2,4.8,Oct-20,46.68,61.95,
81000-1,Koi,2019,671,293,0,42.99,0,5,Mar-20,129.43,171.98,
10260-1,Downtown Diner,2018,155,2480,6,129.99,6,4.9,Nov-20,212.535,275.94,
10261-1,Roller Coaster,2018,673,4124,11,299.99,11,4.9,Nov-21,426.76,442.8,
10262-1,James Bond Aston Martin DB5,2018,673,1297,0,129.99,0,4.9,Jan-22,178.23,178.045,
10263-1,Winter Village Fire Station,2018,228,1166,8,84.99,7,4.8,Dec-20,129.42,122.18,
10268-1,Vestas Wind Turbine,2018,673,834,3,159.99,3,4.9,Nov-20,178.655,222.995,
10712-1,Bricks and Gears,2018,621,244,0,17.99,0,4.6,Jan-20,18.73,23.08,
10717-1,Bricks Bricks Bricks,2018,621,1500,0,49.99,0,4.6,Mar-22,56.97,66.48,
10749-1,Mia's Organic Food Market,2018,595,115,1,17.99,0,4.5,Jan-19,17.08,19.2,
10751-1,Mountain Police Chase,2018,591,115,2,17.99,1,4.4,Jul-19,18.79,18.45,
10753-1,The Joker Batcave Attack,2018,592,151,3,24.99,0,4.6,Feb-20,23.155,29.56,
